YEAR,DOY,T2M,RH2M,WS2M,T2MDEW,avg_precip
2024,202,29.2,87.54,3.98,26.83,7.159305636169492
2024,203,28.81,89.39,3.89,26.83,12.597316651842409
2024,204,28.7,90.11,4.02,26.87,17.77508790077858
2024,205,29.05,88.04,3.63,26.78,14.155758849083664
2024,206,29.45,88.66,2.74,27.3,15.839920236011901
2024,207,29.43,88.09,2.32,27.18,16.62708589089578
2024,208,29.78,87.6,3.69,27.4,11.735769557466643
2024,209,29.57,87.42,4.01,27.17,9.014893426753336
2024,210,29.59,86.85,2.96,27.06,7.346907536705734
2024,211,29.4,87.74,3.5,27.05,12.258209276155428
2024,212,29.05,90.45,3.07,27.29,22.428212619519293
2024,213,28.75,91.21,1.97,27.14,57.741592591535515
2024,214,27.71,94.18,4.57,26.7,59.98648398001443
2024,215,27.55,93.49,4.4,26.42,46.733792579661014
2024,216,27.96,91.71,3.74,26.47,29.763538866287778
2024,217,28.64,87.93,2.36,26.36,11.583616735803822
2024,218,28.49,89.15,2.33,26.47,20.256216549148935
2024,219,28.4,90.24,2.57,26.6,15.620412537248468
2024,220,28.44,90.22,3.25,26.64,15.554516368480346
2024,221,27.69,92.23,2.68,26.3,16.800731636538767
2024,222,28.11,91.15,2.75,26.49,12.291956021914894
2024,223,28.97,88.92,2.62,26.88,13.460151132171655
2024,224,28.76,90.18,1.94,26.95,14.784110778595025
2024,225,28.7,90.58,1.93,26.96,15.100407160703208
2024,226,29.12,88.82,1.58,27.01,16.699595773386225
2024,227,28.81,90.81,1.57,27.13,15.011800979592499
2024,228,28.59,90.28,2.34,26.79,42.58979707632131
2024,229,28.05,91.3,2.05,26.46,30.89048619349657
2024,230,27.87,90.54,2.33,26.13,26.941378851946627
2024,231,27.49,94.54,4.05,26.56,29.41659517363181
2024,232,27.55,94.89,2.46,26.67,38.175689894367835
2024,233,28.48,91.55,3.15,26.95,29.105199387763793
2024,234,28.15,95.01,2.7,27.29,36.3271051675669
2024,235,28.07,93.62,3.05,26.95,44.942312381561486
2024,236,27.43,94.11,3.03,26.41,22.462177695535882
2024,237,27.53,92.27,2.69,26.17,23.84695935533898
2024,238,27.12,92.04,1.64,25.7,26.82793296961053
2024,239,26.77,94.95,3.83,25.92,11.373382401351245
2024,240,27.4,90.89,1.84,25.75,6.729262412490082
2024,241,28.24,86.0,1.05,25.54,5.146312550536603
2024,242,28.47,87.95,1.22,26.21,7.248647523159755
2024,243,28.07,89.28,1.41,26.08,6.4044751606859
2024,244,27.98,92.83,2.07,26.7,10.080167468898665
2024,245,28.34,90.02,1.92,26.5,6.386768687764155
2024,246,28.64,86.44,0.97,26.06,11.9111339014075
2024,247,28.07,89.78,1.23,26.19,10.097641321032096
2024,248,28.31,89.46,1.4,26.36,5.246202541641543
2024,249,27.89,90.82,1.2,26.22,11.541123100307248
2024,250,29.25,80.57,1.01,25.44,7.614565275635413
2024,251,28.5,88.57,1.45,26.4,7.134642826961054
2024,252,29.05,88.18,1.85,26.86,2.488240127737829
2024,253,28.59,91.39,2.74,27.02,2.3103353322326003
2024,254,28.76,91.59,2.68,27.22,3.832351169063469
2024,255,28.8,90.81,1.76,27.11,24.221977430368913
2024,256,29.81,86.22,1.28,27.17,61.23500002379228
2024,257,29.02,90.51,2.27,27.27,44.393525850809596
2024,258,27.45,94.75,5.13,26.56,38.36710876258565
2024,259,26.67,94.25,6.19,25.68,27.759261858486838
2024,260,27.56,92.31,4.31,26.19,9.752839675956364
2024,261,28.64,86.73,1.39,26.13,0.9869148728838804
2024,262,29.08,84.88,0.92,26.2,2.78381352320916
2024,263,29.03,88.61,1.61,26.95,1.7629245900238009
2024,264,29.9,86.97,1.36,27.44,12.146939890040029
2024,265,29.23,89.38,1.38,27.28,8.370016017075729
2024,266,29.29,87.59,1.42,27.0,4.5272375457136675
2024,267,29.31,90.5,1.14,27.56,13.248115457212043
2024,268,28.0,91.85,2.28,26.54,17.88119326220339
2024,269,27.12,93.99,3.11,26.07,37.18250698864046
2024,270,27.05,94.71,2.4,26.14,29.249656691160837
2024,271,27.53,90.44,2.08,25.78,6.705461417076451
2024,272,28.07,89.54,1.85,26.13,4.816729081607646
2024,273,28.73,89.63,1.86,26.8,3.643362696393437
2024,274,28.8,89.86,1.77,26.93,7.689933117706816
2024,275,29.17,88.2,1.07,26.96,11.254938467309051
2024,276,29.46,83.4,0.72,26.27,30.11021022566354
2024,277,28.06,89.51,1.52,26.11,17.114492946614856
2024,278,27.22,92.75,2.73,25.94,20.84464432478868
2024,279,27.38,92.73,2.18,26.08,12.302812520771727
2024,280,27.28,90.85,1.99,25.64,4.886849855253516
2024,281,27.62,87.04,0.89,25.19,2.1844085292473854
2024,282,27.66,87.12,0.95,25.24,5.893986516024882
2024,283,27.63,87.04,0.95,25.21,7.9152756633108545
2024,284,27.09,90.79,1.42,25.43,4.114349003822575
2024,285,27.57,90.16,1.76,25.78,2.6579606302654164
2024,286,28.11,86.48,1.17,25.58,1.7342859308954202
2024,287,28.06,82.95,0.88,24.81,0.5500360462221421
2024,288,26.99,83.9,1.29,23.95,0.6206707394432023
2024,289,27.4,80.41,0.91,23.68,0.5642607173108547
2024,290,27.65,79.47,0.72,23.61,1.2304110816548863
2024,291,27.82,84.16,0.99,24.79,2.6838549750912373
2024,292,27.43,86.07,1.08,24.82,3.2349764811474935
2024,293,27.55,84.16,0.73,24.58,3.908434841428417
2024,294,26.27,84.33,1.45,23.3,0.7107753241619185
2024,295,25.71,83.29,1.32,22.52,0.5670555227212405
2024,296,26.85,84.2,1.24,23.86,2.2124124930100972
2024,297,27.01,90.79,1.78,25.35,33.01373885117021
2024,298,25.72,92.46,3.76,24.4,21.619628061352326
2024,299,26.8,90.97,3.31,25.16,14.117130947422288
2024,300,27.16,89.92,2.05,25.31,2.5532761907335018
2024,301,27.49,80.21,0.51,23.59,0.354585278640101
2024,302,27.01,83.32,1.07,23.87,0.20574107164911645
2024,303,27.58,80.17,0.61,23.72,0.4341254914972954
2024,304,27.42,83.84,0.9,24.37,0.4059285897262892
2024,305,27.47,86.3,1.12,24.89,0.653151807595384
2024,306,26.78,87.58,1.41,24.48,0.39915974718355574
2024,307,25.05,84.23,1.56,22.08,0.03842409012152903
2024,308,25.31,79.73,1.17,21.41,0.019060583092318787
2024,309,25.03,81.15,1.2,21.49,0.316655243748287
2024,310,25.66,82.05,1.35,22.28,3.4180471782098807
2024,311,25.1,85.25,1.31,22.34,1.9988441931828345
